#校對至U+2E34B

2CEB0	𬺰	jn
2CF37	𬼷	nni
2CF38	𬼸	cn
2CF39	𬼹	nnf
2CF3A	𬼺	csnh
2CF3B	𬼻	nnmja
2CF3C	𬼼	nnqoc
2CF3D	𬼽	mml
2CF3E	𬼾	mmit
2CF3F	𬼿	mom
2CF40	𬽀	lnmmi
2CF41	𬽁	miymp
2CF42	𬽂	iimmi
2CF43	𬽃	ynnu
2CF44	𬽄	yf
2CF45	𬽅	yyr
2CF46	𬽆	ynio
2CF47	𬽇	ynip
2CF48	𬽈	ybmm
2CF49	𬽉	yann
2CF4A	𬽊	yand
2CF4B	𬽋	yoog
2CF4C	𬽌	ytd
2CF4D	𬽍	ytju
2CF4E	𬽎	yrbi
2CF4F	𬽏	ylkv
2CF50	𬽐	yrrv
2CF51	𬽑	yhxo
2CF52	𬽒	ysom
2CF53	𬽓	ynpd
2CF54	𬽔	yauk
2CF55	𬽕	ywlh
2CF56	𬽖	ybdoo
2CF57	𬽗	ynau
2CF58	𬽘	yubcr
2CF59	𬽙	yfijb
2CF5A	𬽚	ybbh
2CF5B	𬽛	ynilp
2CF5C	𬽜	yvfg
2CF5D	𬽝	ybuh
2CF5E	𬽞	ynyhl
2CF5F	𬽟	ykhlc
2CF60	𬽠	yvfe
2CF61	𬽡	nono
2CF62	𬽢	osu
2CF63	𬽣	ommn
2CF64	𬽤	qo
2CF65	𬽥	omy
2CF66	𬽦	okni
2CF67	𬽧	ono
2CF68	𬽨	ool
2CF69	𬽩	okp
2CF6A	𬽪	oa
2CF6B	𬽫	oyj
2CF6C	𬽬	ohs
2CF6C	𬽬	ois
2CF6C	𬽬	oms
2CF6D	𬽭	odk
2CF6E	𬽮	omjb
2CF6F	𬽯	osr
2CF70	𬽰	ohjn
2CF70	𬽰	omjn
2CF71	𬽱	orms
2CF72	𬽲	oopd
2CF73	𬽳	ohnb
2CF74	𬽴	ohke
2CF75	𬽵	oodi
2CF76	𬽶	ojhn
2CF77	𬽷	oii
2CF78	𬽸	ojy
2CF79	𬽹	ore
2CF7A	𬽺	oheh
2CF7B	𬽻	okf
2CF7C	𬽼	oidm
2CF7D	𬽽	obmr
2CF7E	𬽾	ooym
2CF7F	𬽿	oop
2CF80	𬾀	oooo
2CF81	𬾁	oyiu
2CF82	𬾂	oimy
2CF82	𬾂	olmy
2CF83	𬾃	oyvk
2CF84	𬾄	oiyk
2CF85	𬾅	ojru
2CF86	𬾆	ogis
2CF87	𬾇	omob
2CF88	𬾈	omhl
2CF89	𬾉	ogyo
2CF8A	𬾊	oman
2CF8B	𬾋	orsn
2CF8C	𬾌	oupp
2CF8D	𬾍	ompd
2CF8E	𬾎	oub
2CF8F	𬾏	ohql
2CF90	𬾐	ohau
2CF91	𬾑	oobn
2CF92	𬾒	ohdn
2CF93	𬾓	ohli
2CF94	𬾔	ojhk
2CF95	𬾕	oymr
2CF96	𬾖	oifm
2CF97	𬾗	oyok
2CF98	𬾘	onoo
2CF99	𬾙	osmb
2CF9A	𬾚	opuu
2CF9B	𬾛	oad
2CF9C	𬾜	oyme
2CF9D	𬾝	okkb
2CF9E	𬾞	oyhl
2CF9F	𬾟	ohsl
2CF9F	𬾟	omsl
2CFA0	𬾠	ophp
2CFA1	𬾡	ofpd
2CFA2	𬾢	oede
2CFA3	𬾣	ofbd
2CFA4	𬾤	onom
2CFA5	𬾥	ofpd
2CFA6	𬾦	okri
2CFA7	𬾧	oeee
2CFA8	𬾨	oheb
2CFA9	𬾩	onjm
2CFAA	𬾪	omis
2CFAB	𬾫	omin
2CFAC	𬾬	oyic
2CFAC	𬾬	oyid
2CFAD	𬾭	ojkr
2CFAE	𬾮	oman
2CFAF	𬾯	otoi
2CFB0	𬾰	oahm
2CFB1	𬾱	olhu
2CFB2	𬾲	onus
2CFB3	𬾳	ohqj
2CFB4	𬾴	ooik
2CFB5	𬾵	ooos
2CFB6	𬾶	oorg
2CFB7	𬾷	otho
2CFB8	𬾸	opgi
2CFB9	𬾹	ocso
2CFBA	𬾺	ttoii
2CFBA	𬾺	ttoml
2CFBB	𬾻	oyrn
2CFBB	𬾻	oyru
2CFBC	𬾼	ojhr
2CFBD	𬾽	ojwp
2CFBE	𬾾	ogit
2CFBF	𬾿	okrb
2CFC0	𬿀	otor
2CFC1	𬿁	otyu
2CFC2	𬿂	oano
2CFC3	𬿃	olpd
2CFC4	𬿄	owlu
2CFC5	𬿅	obhi
2CFC6	𬿆	ohye
2CFC7	𬿇	ockn
2CFC8	𬿈	ooge
2CFC9	𬿉	oht
2CFCA	𬿊	ohud
2CFCB	𬿋	oljnk
2CFCC	𬿌	ouie
2CFCD	𬿍	ohsg
2CFCD	𬿍	oisg
2CFCD	𬿍	omsg
2CFCE	𬿎	yyomm
2CFCF	𬿏	ovvr
2CFD0	𬿐	odim
2CFD1	𬿑	omwi
2CFD1	𬿑	omwl
2CFD2	𬿒	omkk
2CFD3	𬿓	owim
2CFD4	𬿔	olke
2CFD5	𬿕	oumg
2CFD6	𬿖	oypm
2CFD7	𬿗	oltb
2CFD8	𬿘	ohnd
2CFD9	𬿙	ookg
2CFDA	𬿚	oixp
2CFDB	𬿛	oile
2CFDC	𬿜	othu
2CFDC	𬿜	otqu
2CFDD	𬿝	ojyj
2CFDE	𬿞	oycb
2CFDF	𬿟	ojye
2CFE0	𬿠	viom
2CFE1	𬿡	otog
2CFE2	𬿢	ojiv
2CFE3	𬿣	oqbk
2CFE4	𬿤	osai
2CFE5	𬿥	ommd
2CFE6	𬿦	ommc
2CFE7	𬿧	olhg
2CFE7	𬿧	olog
2CFE8	𬿨	oymm
2CFE9	𬿩	olhc
2CFE9	𬿩	oloc
2CFEA	𬿪	ohbk
2CFEB	𬿫	oyog
2CFEC	𬿬	orso
2CFED	𬿭	odqn
2CFEE	𬿮	oybk
2CFEF	𬿯	oirp
2CFF0	𬿰	omgc
2CFF1	𬿱	optf
2CFF2	𬿲	ombe
2CFF3	𬿳	oymh
2CFF4	𬿴	ouif
2CFF5	𬿵	oltco
2CFF6	𬿶	oogh
2CFF7	𬿷	olnoi
2CFF8	𬿸	ooci
2CFF9	𬿹	ohau
2CFFA	𬿺	ojnf
2CFFB	𬿻	oqmi
2CFFC	𬿼	ombd
2CFFD	𬿽	otwm
2CFFE	𬿾	oltd
2CFFF	𬿿	ohgf
2D000	𭀀	ojac
2D001	𭀁	ojim
2D002	𭀂	ogrc
2D003	𭀃	tolk
2D004	𭀄	ojhf
2D005	𭀅	ovid
2D006	𭀆	omtc
2D007	𭀇	ogrf
2D008	𭀈	owhf
2D009	𭀉	ohef
2D009	𭀉	ookf
2D00A	𭀊	ohaf
2D00B	𭀋	otgs
2D00C	𭀌	oyag
2D00D	𭀍	ombd
2D00E	𭀎	obpd
2D00F	𭀏	okak
2D010	𭀐	oltof
2D011	𭀑	oyrm
2D012	𭀒	otqr
2D013	𭀓	oswu
2D014	𭀔	osei
2D015	𭀕	oofbb
2D016	𭀖	mui
2D017	𭀗	vhiu
2D018	𭀘	vvhu
2D019	𭀙	ovhu
2D01A	𭀚	yvhu
2D01B	𭀛	nihu
2D01C	𭀜	vvhu
2D01D	𭀝	mlyu
2D01E	𭀞	muni
2D01F	𭀟	mlou
2D020	𭀠	oahu
2D021	𭀡	lmsp
2D022	𭀢	krhu
2D023	𭀣	olai
2D024	𭀤	tkpc
2D025	𭀥	oui
2D026	𭀦	guhk
2D027	𭀧	cumj
2D028	𭀨	fuii
2D029	𭀩	mubhg
2D02A	𭀪	muypn
2D02A	𭀪	muypu
2D02B	𭀫	musmv
2D02C	𭀬	fufhu
2D02D	𭀭	nomrp
2D02E	𭀮	fumgt
2D02F	𭀯	hulln
2D030	𭀰	nunau
2D031	𭀱	ouolu
2D032	𭀲	hujrr
2D033	𭀳	huwjo
2D034	𭀴	fujrn
2D034	𭀴	fuyru
2D035	𭀵	huhsm
2D035	𭀵	huism
2D035	𭀵	humsm
2D036	𭀶	fuynb
2D037	𭀷	huwjc
2D038	𭀸	huwii
2D039	𭀹	hubvk
2D03A	𭀺	huttr
2D03B	𭀻	obn
2D03C	𭀼	ogi
2D03D	𭀽	mro
2D03E	𭀾	rlo
2D03F	𭀿	ovnd
2D040	𭁀	oso
2D041	𭁁	omond
2D042	𭁂	omnci
2D043	𭁃	omncd
2D044	𭁄	tvj
2D045	𭁅	ciy
2D046	𭁆	hgc
2D047	𭁇	lqmc
2D048	𭁈	lqmc
2D049	𭁉	lmmc
2D04A	𭁊	ioc
2D04A	𭁊	moc
2D04B	𭁋	cshb
2D04C	𭁌	fqyhs
2D04D	𭁍	ciklb
2D04E	𭁎	cibm
2D04F	𭁏	cwhj
2D050	𭁐	omxc
2D051	𭁑	fqem
2D052	𭁒	bno
2D053	𭁓	ciijb
2D054	𭁔	twlc
2D055	𭁕	olyc
2D056	𭁖	ycvne
2D057	𭁗	cmwk
2D057	𭁗	twlk
2D058	𭁘	kiyc
2D059	𭁙	fqyrn
2D05A	𭁚	tclpb
2D05B	𭁛	ycyhj
2D05C	𭁜	civdl
2D05D	𭁝	sqtc
2D05E	𭁞	tctav
2D05F	𭁟	vml
2D060	𭁠	bq
2D061	𭁡	mbmm
2D062	𭁢	jbmm
2D063	𭁣	mfbq
2D064	𭁤	kbkb
2D065	𭁥	mbe
2D066	𭁦	bhjr
2D067	𭁧	obfh
2D068	𭁨	bfd
2D069	𭁩	yibmm
2D06A	𭁪	mmiq
2D06B	𭁫	ptbmm
2D06C	𭁬	kbkb
2D06D	𭁭	fbe
2D06E	𭁮	vdob
2D06F	𭁯	ptbq
2D070	𭁰	brnin
2D071	𭁱	bgfg
2D072	𭁲	qoblo
2D073	𭁳	bru
2D074	𭁴	bmam
2D075	𭁵	bmuk
2D076	𭁶	bmau
2D077	𭁷	bbuc
2D078	𭁸	byaj
2D079	𭁹	bcgg
2D07A	𭁺	bifi
2D07A	𭁺	bmfi
2D07B	𭁻	bsw
2D07C	𭁼	bamo
2D07D	𭁽	blsf
2D07E	𭁾	bose
2D07F	𭁿	bife
2D07F	𭁿	bmfe
2D080	𭂀	bwlv
2D081	𭂁	blaf
2D082	𭂂	bcwlt
2D083	𭂃	bddf
2D084	𭂄	bcvio
2D085	𭂅	bqjp
2D086	𭂆	immvs
2D087	𭂇	imks
2D088	𭂈	imu
2D089	𭂉	impkk
2D08A	𭂊	imsp
2D08B	𭂋	imgr
2D08C	𭂌	imlmi
2D08D	𭂍	imymp
2D08E	𭂎	imtq
2D08F	𭂏	imoyt
2D090	𭂐	imphr
2D091	𭂑	imyfe
2D092	𭂒	imhna
2D093	𭂓	imyrd
2D094	𭂔	imysy
2D095	𭂕	imnme
2D095	𭂕	imvne
2D096	𭂖	imhni
2D097	𭂗	imysd
2D098	𭂘	imnob
2D099	𭂙	imoge
2D09A	𭂚	imcmt
2D09A	𭂚	imtct
2D09B	𭂛	imhrf
2D09C	𭂜	imdoe
2D09D	𭂝	imfbb
2D09E	𭂞	imycb
2D09F	𭂟	imlmc
2D0A0	𭂠	imana
2D0A1	𭂡	imcwa
2D0A2	𭂢	imirp
2D0A3	𭂣	imani
2D0A4	𭂤	imoim
2D0A4	𭂤	imolm
2D0A5	𭂥	imtag
2D0A6	𭂦	imbmp
2D0A7	𭂧	immbi
2D0A8	𭂨	imlib
2D0A9	𭂩	hnj
2D0AA	𭂪	hvhn
2D0AB	𭂫	hhni
2D0AC	𭂬	hny
2D0AD	𭂭	cshn
2D0AE	𭂮	hnshi
2D0AE	𭂮	hnsk
2D0AE	𭂮	hnso
2D0AF	𭂯	ohnj
2D0B0	𭂰	lkhn
2D0B1	𭂱	hnkb
2D0B2	𭂲	unhn
2D0B2	𭂲	uuhn
2D0B3	𭂳	myhn
2D0B4	𭂴	hnrhr
2D0B4	𭂴	hnrr
2D0B5	𭂵	hnhnu
2D0B6	𭂶	nihn
2D0B7	𭂷	buhn
2D0B8	𭂸	yhhn
2D0B9	𭂹	hnvvu
2D0BA	𭂺	hnhgf
2D0BB	𭂻	uhju
2D0BC	𭂼	uvvv
2D0BD	𭂽	uukd
2D0BE	𭂾	macv
2D0BF	𭂿	ukmcp
2D0C0	𭃀	uumcp
2D0C1	𭃁	uummp
2D0C2	𭃂	sq
2D0C3	𭃃	shp
2D0C4	𭃄	jsh
2D0C5	𭃅	siln
2D0C5	𭃅	skln
2D0C5	𭃅	soln
2D0C6	𭃆	eiln
2D0C7	𭃇	shei
2D0C8	𭃈	shcms
2D0C9	𭃉	shyk
2D0CA	𭃊	smsmm
2D0CB	𭃋	shau
2D0CC	𭃌	ygsh
2D0CD	𭃍	qshh
2D0CE	𭃎	sjtt
2D0CF	𭃏	yyln
2D0D0	𭃐	yysh
2D0D1	𭃑	shymy
2D0D2	𭃒	rwln
2D0D3	𭃓	cshn
2D0D4	𭃔	jushi
2D0D4	𭃔	jusk
2D0D4	𭃔	juso
2D0D5	𭃕	shgr
2D0D6	𭃖	mnsh
2D0D7	𭃗	twln
2D0D8	𭃘	shobo
2D0D9	𭃙	shhbu
2D0DA	𭃚	hmshi
2D0DA	𭃚	hmsk
2D0DA	𭃚	hmso
2D0DB	𭃛	shkd
2D0DC	𭃜	oksh
2D0DD	𭃝	shoi
2D0DE	𭃞	nrln
2D0DF	𭃟	orsh
2D0E0	𭃠	shyck
2D0E1	𭃡	ifph
2D0E2	𭃢	shyk
2D0E3	𭃣	crln
2D0E4	𭃤	bhln
2D0E5	𭃥	hbln
2D0E6	𭃦	shcnh
2D0E7	𭃧	inln
2D0E8	𭃨	lph
2D0E9	𭃩	ddsh
2D0EA	𭃪	tsln
2D0EB	𭃫	shapp
2D0EC	𭃬	rtln
2D0ED	𭃭	hbln
2D0EE	𭃮	shoip
2D0EF	𭃯	odln
2D0F0	𭃰	jpln
2D0F1	𭃱	tjki
2D0F1	𭃱	tjkk
2D0F1	𭃱	tjko
2D0F2	𭃲	eoln
2D0F3	𭃳	iiln
2D0F4	𭃴	mbln
2D0F5	𭃵	trln
2D0F6	𭃶	ahln
2D0F7	𭃷	siymm
2D0F7	𭃷	skymm
2D0F7	𭃷	soymm
2D0F8	𭃸	jgln
2D0F9	𭃹	ehcsh
2D0FA	𭃺	jrln
2D0FB	𭃻	tlln
2D0FC	𭃼	shkrd
2D0FD	𭃽	shahu
2D0FE	𭃾	tnln
2D0FF	𭃿	jjcsh
2D100	𭄀	tmshi
2D100	𭄀	tmsk
2D100	𭄀	tmso
2D101	𭄁	hwln
2D102	𭄂	hosh
2D103	𭄃	chune
2D104	𭄄	vnsh
2D105	𭄅	edln
2D106	𭄆	msln
2D107	𭄇	jlsh
2D108	𭄈	tgln
2D109	𭄉	ioln
2D10A	𭄊	ibln
2D10B	𭄋	juln
2D10C	𭄌	jush
2D10D	𭄍	cksh
2D10E	𭄎	shsja
2D10F	𭄏	mkln
2D110	𭄐	hkmsh
2D111	𭄑	jnln
2D112	𭄒	hgln
2D113	𭄓	mrahn
2D114	𭄔	hfln
2D115	𭄕	hbln
2D116	𭄖	jhln
2D117	𭄗	jcln
2D118	𭄘	mcln
2D119	𭄙	hbln
2D11A	𭄚	tjln
2D11B	𭄛	holn
2D11C	𭄜	obln
2D11D	𭄝	shtgo
2D11E	𭄞	oks
2D11F	𭄟	mks
2D120	𭄠	hhks
2D121	𭄡	jlks
2D122	𭄢	krhi
2D123	𭄣	kiks
2D124	𭄤	hoksn
2D125	𭄥	vrks
2D126	𭄦	gsks
2D126	𭄦	qsks
2D127	𭄧	jvks
2D128	𭄨	hhks
2D129	𭄩	hays
2D12A	𭄪	ijks
2D12B	𭄫	cwks
2D12C	𭄬	gjks
2D12D	𭄭	tcks
2D12E	𭄮	memks
2D12F	𭄯	mkks
2D130	𭄰	wdks
2D131	𭄱	ksrho
2D132	𭄲	jmks
2D133	𭄳	tmks
2D134	𭄴	ygks
2D135	𭄵	dqks
2D136	𭄶	nkks
2D137	𭄷	kstct
2D138	𭄸	yvks
2D139	𭄹	vswks
2D13A	𭄺	dkks
2D13B	𭄻	krqyt
2D13C	𭄼	okks
2D13D	𭄽	ckks
2D13E	𭄾	ykks
2D13F	𭄿	tgks
2D140	𭅀	miks
2D141	𭅁	lcks
2D142	𭅂	wcks
2D143	𭅃	yoks
2D144	𭅄	pe
2D145	𭅅	pve
2D146	𭅆	ptt
2D147	𭅇	pyr
2D148	𭅈	pylb
2D149	𭅉	phhml
2D14A	𭅊	ptyv
2D14B	𭅋	pmrt
2D14C	𭅌	tcpi
2D14D	𭅍	mhpkk
2D14E	𭅎	jjpru
2D14F	𭅏	qqpru
2D150	𭅐	thp
2D151	𭅑	fqp
2D152	𭅒	tjkp
2D153	𭅓	jjp
2D154	𭅔	sp
2D155	𭅕	smd
2D156	𭅖	smj
2D157	𭅗	sw
2D158	𭅘	syg
2D159	𭅙	smig
2D15A	𭅚	snin
2D15B	𭅛	seoi
2D15B	𭅛	seol
2D15C	𭅜	stmo
2D15D	𭅝	safv
2D15E	𭅞	smjk
2D15E	𭅞	snjk
2D15F	𭅟	tkhlu
2D160	𭅠	jhn
2D161	𭅡	hwhj
2D162	𭅢	fql
2D163	𭅣	pjau
2D164	𭅤	hjpd
2D165	𭅥	jbno
2D166	𭅦	ojojj
2D167	𭅧	tvht
2D168	𭅨	jmoog
2D168	𭅨	jvoog
2D169	𭅩	vij
2D16A	𭅪	jjkcs
2D16B	𭅫	vxrr
2D16C	𭅬	jmjbf
2D16C	𭅬	jvjbf
2D16D	𭅭	yjmbb
2D16E	𭅮	gtdej
2D16F	𭅯	yah
2D170	𭅰	ywh
2D171	𭅱	yykd
2D172	𭅲	sui
2D173	𭅳	isy
2D174	𭅴	ysy
2D175	𭅵	mnsl
2D176	𭅶	ggsl
2D177	𭅷	jpsl
2D178	𭅸	ajsl
2D179	𭅹	nnsu
2D17A	𭅺	iisl
2D17B	𭅻	numsu
2D17C	𭅼	vhail
2D17D	𭅽	nnail
2D17E	𭅾	ybsl
2D17F	𭅿	hfpsl
2D180	𭆀	mon
2D181	𭆁	mrn
2D182	𭆂	man
2D183	𭆃	mrvp
2D184	𭆄	mjsn
2D185	𭆅	mhau
2D186	𭆆	mkm
2D187	𭆇	mqjo
2D188	𭆈	movf
2D189	𭆉	dsm
2D18A	𭆊	msjl
2D18B	𭆋	mtkr
2D18C	𭆌	mqik
2D18C	𭆌	mqkk
2D18C	𭆌	mqok
2D18D	𭆍	mtaj
2D18E	𭆎	mbci
2D18F	𭆏	mtqo
2D190	𭆐	mmje
2D190	𭆐	mnje
2D191	𭆑	mkmms
2D192	𭆒	twmrv
2D193	𭆓	jkmms
2D194	𭆔	mahr
2D195	𭆕	mabk
2D196	𭆖	mfmc
2D197	𭆗	slmad
2D198	𭆘	mofc
2D199	𭆙	ike
2D19A	𭆚	imt
2D19B	𭆛	ppgi
2D19C	𭆜	koi
2D19D	𭆝	inii
2D19E	𭆞	ike
2D19F	𭆟	ddi
2D1A0	𭆠	kiki
2D1A1	𭆡	ihwj
2D1A2	𭆢	omti
2D1A3	𭆣	ioll
2D1A4	𭆤	iiie
2D1A5	𭆥	ne
2D1A6	𭆦	eym
2D1A7	𭆧	ie
2D1A8	𭆨	eylm
2D1A9	𭆩	eklg
2D1AA	𭆪	lle
2D1AB	𭆫	ueke
2D1AC	𭆬	lsse
2D1AD	𭆭	eilp
2D1AE	𭆮	core
2D1AF	𭆯	ruhe
2D1B0	𭆰	sepd
2D1B1	𭆱	msnhe
2D1B2	𭆲	bwle
2D1B3	𭆳	semmi
2D1B4	𭆴	majse
2D1B5	𭆵	hudme
2D1B6	𭆶	owle
2D1B7	𭆷	jue
2D1B8	𭆸	rkn
2D1B9	𭆹	or
2D1BA	𭆺	rmj
2D1BB	𭆻	rmmm
2D1BC	𭆼	rmy
2D1BD	𭆽	rym
2D1BE	𭆾	lkn
2D1BF	𭆿	rhp
2D1C0	𭇀	rik
2D1C1	𭇁	dmr
2D1C2	𭇂	rn
2D1C3	𭇃	rkm
2D1C4	𭇄	mrmn
2D1C5	𭇅	rye
2D1C6	𭇆	rhg
2D1C7	𭇇	rhvp
2D1C8	𭇈	qkr
2D1C9	𭇉	rpo
2D1CA	𭇊	ryc
2D1CB	𭇋	aur
2D1CC	𭇌	shrp
2D1CD	𭇍	knrp
2D1CE	𭇎	rmnr
2D1CF	𭇏	mnher
2D1D0	𭇐	rtm
2D1D1	𭇑	lpr
2D1D2	𭇒	rbt
2D1D2	𭇒	tbbm
2D1D3	𭇓	rhmy
2D1D4	𭇔	rou
2D1D5	𭇕	prpi
2D1D6	𭇖	rbmj
2D1D7	𭇗	rii
2D1D8	𭇘	rinn
2D1D9	𭇙	ree
2D1DA	𭇚	eyk
2D1DB	𭇛	eie
2D1DC	𭇜	eive
2D1DD	𭇝	urp
2D1DE	𭇞	rjpn
2D1DF	𭇟	rmnp
2D1E0	𭇠	grpd
2D1E1	𭇡	rkdi
2D1E2	𭇢	mhr
2D1E3	𭇣	rpa
2D1E4	𭇤	hqrp
2D1E5	𭇥	obr
2D1E6	𭇦	hxr
2D1E7	𭇧	rop
2D1E8	𭇨	rhmf
2D1E9	𭇩	rhlm
2D1EA	𭇪	her
2D1EA	𭇪	ier
2D1EA	𭇪	mer
2D1EB	𭇫	rill
2D1EC	𭇬	rjnd
2D1ED	𭇭	ryvv
2D1EE	𭇮	rem
2D1EF	𭇯	rykn
2D1F0	𭇰	rsim
2D1F1	𭇱	srcsh
2D1F2	𭇲	reno
2D1F3	𭇳	reno
2D1F4	𭇴	rtt
2D1F5	𭇵	tghl
2D1F6	𭇶	rdnd
2D1F7	𭇷	mrrp
2D1F8	𭇸	ger
2D1F9	𭇹	rmoo
2D1FA	𭇺	ror
2D1FB	𭇻	rtmd
2D1FC	𭇼	rtru
2D1FD	𭇽	ralb
2D1FE	𭇾	rroin
2D1FF	𭇿	rokr
2D200	𭈀	rhdi
2D201	𭈁	roll
2D202	𭈂	roam
2D203	𭈃	horp
2D203	𭈃	hyrp
2D204	𭈄	rodm
2D205	𭈅	rhru
2D206	𭈆	ormv
2D207	𭈇	rykb
2D208	𭈈	ryw
2D209	𭈉	rifm
2D20A	𭈊	rvvu
2D20B	𭈋	rsha
2D20C	𭈌	rslo
2D20C	𭈌	rsly
2D20D	𭈍	rjav
2D20E	𭈎	rthk
2D20F	𭈏	rtqo
2D210	𭈐	rypm
2D211	𭈑	rrmnr
2D212	𭈒	rbb
2D213	𭈓	rojk
2D214	𭈔	rnom
2D215	𭈕	rhog
2D216	𭈖	romn
2D217	𭈗	rcln
2D217	𭈗	rkdn
2D218	𭈘	rhqh
2D219	𭈙	rbau
2D21A	𭈚	romm
2D21B	𭈛	rhdd
2D21C	𭈜	rhew
2D21D	𭈝	hlr
2D21D	𭈝	ilr
2D21D	𭈝	mlr
2D21E	𭈞	rhsb
2D21E	𭈞	risb
2D21E	𭈞	rmsb
2D21F	𭈟	reqp
2D220	𭈠	reho
2D221	𭈡	rebm
2D222	𭈢	rifl
2D222	𭈢	rmfl
2D223	𭈣	rejd
2D224	𭈤	ryno
2D225	𭈥	rlsb
2D226	𭈦	rndo
2D227	𭈧	rikm
2D228	𭈨	rsln
2D229	𭈩	rsie
2D229	𭈩	rsik
2D22A	𭈪	rnlp
2D22B	𭈫	rmem
2D22B	𭈫	rnem
2D22C	𭈬	grov
2D22D	𭈭	rab
2D22E	𭈮	rymf
2D22F	𭈯	rgyvo
2D230	𭈰	twbw
2D231	𭈱	grjkp
2D232	𭈲	rgmm
2D233	𭈳	rsju
2D234	𭈴	rdyg
2D235	𭈵	rqvn
2D236	𭈶	rsijb
2D237	𭈷	rgav
2D238	𭈸	krbbm
